dateTime,value__bpm,value__confidence
11/02/23 11:48:15,71,2
11/02/23 11:48:20,74,2
11/02/23 11:48:25,69,3
11/02/23 11:48:30,66,3
11/02/23 11:48:40,65,3
11/02/23 11:48:45,64,3
11/02/23 11:48:55,63,3
11/02/23 11:49:00,64,3
11/02/23 11:49:05,65,3
11/02/23 11:49:10,66,3
11/02/23 11:49:15,67,3
11/02/23 11:49:25,69,2
11/02/23 11:49:40,69,2
11/02/23 11:49:50,67,3
11/02/23 11:49:55,66,3
11/02/23 11:50:00,65,3
11/02/23 11:50:15,65,2
11/02/23 11:50:20,66,2
11/02/23 11:50:35,66,2
11/02/23 11:50:40,72,2
11/02/23 11:50:45,69,2
11/02/23 11:50:50,67,2
11/02/23 11:50:56,64,3
11/02/23 11:51:11,69,3
11/02/23 11:51:16,72,3
11/02/23 11:51:26,69,3
11/02/23 11:51:31,68,3
11/02/23 11:51:46,69,3
11/02/23 11:51:51,68,3
11/02/23 11:51:56,67,3
11/02/23 11:52:11,67,3
11/02/23 11:52:21,68,3
11/02/23 11:52:31,69,3
11/02/23 11:52:36,70,3
11/02/23 11:52:51,71,3
11/02/23 11:53:01,72,3
11/02/23 11:53:11,73,3
11/02/23 11:53:16,74,3
11/02/23 11:53:31,75,3
11/02/23 11:53:41,74,3
11/02/23 11:53:56,74,3
11/02/23 11:54:01,73,3
11/02/23 11:54:11,74,3
11/02/23 11:54:16,75,3
11/02/23 11:54:26,76,3
11/02/23 11:54:31,77,3
11/02/23 11:54:36,79,2
11/02/23 11:54:51,79,2
11/02/23 11:55:01,92,2
11/02/23 11:55:06,102,3
11/02/23 11:55:11,95,1
11/02/23 11:55:21,90,1
11/02/23 11:55:26,72,3
11/02/23 11:55:31,65,2
11/02/23 11:55:41,64,2
11/02/23 11:55:46,60,3
11/02/23 11:56:01,61,3
11/02/23 11:56:06,62,3
11/02/23 11:56:21,63,3
11/02/23 11:56:26,65,3
11/02/23 11:56:31,67,3
11/02/23 11:56:36,66,3
11/02/23 11:56:46,67,3
11/02/23 11:56:51,68,3
11/02/23 11:56:56,69,3
11/02/23 11:57:06,71,3
11/02/23 11:57:11,71,2
11/02/23 11:57:16,72,2
11/02/23 11:57:21,73,2
11/02/23 11:57:36,73,2
11/02/23 11:57:51,72,2
11/02/23 11:57:52,69,2
11/02/23 11:57:57,70,2
11/02/23 11:58:07,67,2
11/02/23 11:58:12,66,3
11/02/23 11:58:17,67,3
11/02/23 11:58:22,68,3
11/02/23 11:58:27,69,3
11/02/23 11:58:32,67,3
11/02/23 11:58:37,65,3
11/02/23 11:58:47,66,3
11/02/23 11:58:57,65,3
11/02/23 11:59:12,65,3
11/02/23 11:59:17,66,3
11/02/23 11:59:22,66,2
11/02/23 11:59:32,68,3
11/02/23 11:59:37,69,3
11/02/23 11:59:42,70,2
11/02/23 11:59:47,71,2
11/02/23 11:59:57,72,2
11/02/23 12:00:02,71,2
11/02/23 12:00:07,71,3
11/02/23 12:00:12,71,2
11/02/23 12:00:17,70,3
11/02/23 12:00:27,71,2
11/02/23 12:00:42,72,2
11/02/23 12:00:47,73,2
11/02/23 12:00:52,73,3
11/02/23 12:00:57,71,3
11/02/23 12:01:02,69,3
11/02/23 12:01:07,68,3
11/02/23 12:01:22,68,3
11/02/23 12:01:27,70,3
11/02/23 12:01:32,71,3
11/02/23 12:01:37,69,3
11/02/23 12:01:47,70,2
11/02/23 12:01:57,69,3
11/02/23 12:02:07,70,2
11/02/23 12:02:22,70,2
11/02/23 12:02:27,72,2
11/02/23 12:02:32,68,3
11/02/23 12:02:37,65,3
11/02/23 12:02:42,64,3
11/02/23 12:02:52,66,3
11/02/23 12:02:57,65,3
11/02/23 12:03:07,66,2
11/02/23 12:03:12,67,2
11/02/23 12:03:17,68,2
11/02/23 12:03:22,69,2
11/02/23 12:03:37,69,2
11/02/23 12:03:47,70,1
11/02/23 12:03:57,71,2
11/02/23 12:04:07,67,2
11/02/23 12:04:12,65,3
11/02/23 12:04:17,64,2
11/02/23 12:04:23,65,2
11/02/23 12:04:38,65,2
11/02/23 12:04:43,67,2
11/02/23 12:04:48,68,2
11/02/23 12:04:58,69,2
11/02/23 12:05:08,70,2
11/02/23 12:05:13,71,2
11/02/23 12:05:18,81,2
11/02/23 12:05:23,82,2
11/02/23 12:05:28,78,2
11/02/23 12:05:33,73,2
11/02/23 12:05:38,72,2
11/02/23 12:05:43,73,2
11/02/23 12:05:53,71,3
11/02/23 12:06:03,70,3
11/02/23 12:06:08,70,2
11/02/23 12:06:13,72,3
11/02/23 12:06:18,73,2
11/02/23 12:06:23,72,2
11/02/23 12:06:38,72,2
11/02/23 12:06:48,77,2
11/02/23 12:06:53,77,3
11/02/23 12:06:58,74,3
11/02/23 12:07:03,72,2
11/02/23 12:07:08,74,3
11/02/23 12:07:13,71,2
11/02/23 12:07:18,70,2
11/02/23 12:07:23,69,2
11/02/23 12:07:28,72,3
11/02/23 12:07:33,72,2
11/02/23 12:07:43,69,3
11/02/23 12:07:48,68,3
11/02/23 12:07:53,68,2
11/02/23 12:08:03,69,2
11/02/23 12:08:08,70,3
11/02/23 12:08:13,70,2
11/02/23 12:08:28,69,3
11/02/23 12:08:43,68,2
11/02/23 12:08:48,68,3
11/02/23 12:08:53,71,3
11/02/23 12:08:58,72,3
11/02/23 12:09:08,73,3
11/02/23 12:09:13,77,3
11/02/23 12:09:18,78,3
11/02/23 12:09:28,80,3
11/02/23 12:09:33,78,3
11/02/23 12:09:38,77,3
11/02/23 12:09:43,78,3
11/02/23 12:09:53,79,3
11/02/23 12:10:03,78,3
11/02/23 12:10:08,77,3
11/02/23 12:10:13,75,3
11/02/23 12:10:28,75,3
11/02/23 12:10:29,75,3
11/02/23 12:10:34,74,3
11/02/23 12:10:39,70,3
11/02/23 12:10:44,71,3
11/02/23 12:10:49,72,3
11/02/23 12:10:54,71,3
11/02/23 12:10:59,72,3
11/02/23 12:11:09,73,3
11/02/23 12:11:19,72,3
11/02/23 12:11:29,69,3
11/02/23 12:11:34,70,3
11/02/23 12:11:39,71,3
11/02/23 12:11:54,72,3
11/02/23 12:12:04,71,3
11/02/23 12:12:14,72,3
11/02/23 12:12:19,70,3
11/02/23 12:12:24,69,3
11/02/23 12:12:29,68,3
11/02/23 12:12:34,69,3
11/02/23 12:12:49,70,3
11/02/23 12:12:59,69,3
11/02/23 12:13:04,68,3
11/02/23 12:13:14,69,3
11/02/23 12:13:19,72,3
11/02/23 12:13:24,73,3
11/02/23 12:13:29,72,3
11/02/23 12:13:44,69,3
11/02/23 12:13:49,71,3
11/02/23 12:13:54,74,3
11/02/23 12:14:09,74,3
11/02/23 12:14:14,75,3
11/02/23 12:14:19,76,3
11/02/23 12:14:24,75,3
11/02/23 12:14:34,76,3
11/02/23 12:14:39,73,3
11/02/23 12:14:44,74,3
11/02/23 12:14:49,75,3
11/02/23 12:14:54,77,3
11/02/23 12:14:59,77,2
11/02/23 12:15:04,76,3
11/02/23 12:15:09,71,3
11/02/23 12:15:14,69,3
11/02/23 12:15:24,70,3
11/02/23 12:15:29,68,3
11/02/23 12:15:44,69,3
11/02/23 12:15:49,70,3
11/02/23 12:15:59,69,3
11/02/23 12:16:09,71,3
11/02/23 12:16:14,69,3
11/02/23 12:16:19,68,3
11/02/23 12:16:29,67,3
11/02/23 12:16:39,68,3
11/02/23 12:16:44,67,3
11/02/23 12:16:49,66,3
11/02/23 12:16:55,69,2
11/02/23 12:17:00,72,3
11/02/23 12:17:05,70,3
11/02/23 12:17:20,68,3
11/02/23 12:17:25,66,3
11/02/23 12:17:35,69,3
11/02/23 12:17:40,70,3
11/02/23 12:17:45,71,3
11/02/23 12:17:50,70,3
11/02/23 12:17:55,68,3
11/02/23 12:18:00,67,3
11/02/23 12:18:05,65,3
11/02/23 12:18:15,64,3
11/02/23 12:18:25,65,3
11/02/23 12:18:30,64,3
11/02/23 12:18:40,65,3
11/02/23 12:18:45,66,3
11/02/23 12:19:00,67,3
11/02/23 12:19:05,69,3
11/02/23 12:19:10,67,3
11/02/23 12:19:15,66,3
11/02/23 12:19:25,65,3
11/02/23 12:19:30,67,3
11/02/23 12:19:35,69,3
11/02/23 12:19:40,68,3
11/02/23 12:19:50,67,3
11/02/23 12:19:55,66,3
11/02/23 12:20:00,65,3
11/02/23 12:20:15,66,3
11/02/23 12:20:20,68,3
11/02/23 12:20:25,67,3
11/02/23 12:20:40,67,3
11/02/23 12:20:50,65,3
11/02/23 12:21:00,64,3
11/02/23 12:21:10,65,3
11/02/23 12:21:15,66,3
11/02/23 12:21:20,67,3
11/02/23 12:21:25,68,3
11/02/23 12:21:30,69,3
11/02/23 12:21:35,68,3
11/02/23 12:21:40,67,3
11/02/23 12:21:55,67,3
11/02/23 12:22:00,68,3
11/02/23 12:22:05,69,2
11/02/23 12:22:10,71,2
11/02/23 12:22:15,75,3
11/02/23 12:22:20,71,3
11/02/23 12:22:25,69,3
